,,,,
Giai đoạn,Tên hoạt động,Người phụ trách,Thời gian thực hiện,Kết quả hoạt động (Output)
1,Đánh giá năng lực PL (9-box/Skill-Will),SDM + HRBP,Tuần 1,Bản đồ nhân sự (Matrix Mapping) xác định rõ thế mạnh/yếu của 10 PL.
1,Xây dựng Ma trận Trách nhiệm (RACI),SDM & PLs,Tuần 1 - 2,Bảng phân định rõ ranh giới trách nhiệm giữa SDM – PL – Member.
1,Thiết lập KPI & Chuẩn hóa Báo cáo,SDM,Tuần 2,Bộ chỉ số đo lường minh bạch và quy trình báo cáo Hourensou thống nhất.
1,Họp định hướng (Vision Alignment),SDM & Toàn bộ PLs,Tuần 2 (1 buổi),Sự đồng thuận về tầm nhìn mới; xóa bỏ khoảng cách vô hình ban đầu.
1,Ghép nối PL vào Dự án phù hợp,SDM,Tuần 3,"Danh sách PL được ""đặt đúng chỗ"" dựa trên ma trận năng lực đã đánh giá."
,,,,
2,Bàn giao vận hành từng bước,SDM & PLs,Tuần 4 - 5,Danh sách các task vận hành cụ thể được chuyển giao cho PL quản lý trực tiếp.
2,Hệ thống Coaching 1-1 định kỳ,SDM,Tuần 4 - 8 (Duy trì),PL tự đưa ra giải pháp cho vấn đề thay vì chờ SDM quyết định.
2,Workshop Kỹ năng Quản lý cho PL,SDM hoặc Guest Speaker,Tuần 5,Bộ quy chuẩn về cách quản lý team và giải quyết xung đột nội bộ cho 10 PL.
2,Thiết lập Dashboard & Giám sát gián tiếp,SDM,Tuần 4,SDM có thể nắm bắt sức khỏe 10 dự án qua thông số mà không cần dự họp Daily.
2,Truyền thông Trao quyền (Official Support),SDM,Tuần 5,Member công nhận uy tín của PL; SDM chính thức rút khỏi các quyết định vi mô.
2,"Họp Review ""Mượn lực"" (Leverage)",SDM & PLs,Tuần 6 - 8,"Thông điệp chiến lược của SDM được PL truyền tải hiệu quả xuống 100 members.
- SDM tập trung vào WHY và WHAT
- PLs tập trung vào các yếu tố còn lại (HOW, WHO, WHERE, WHEN)"
3,Vận hành Phân tầng Độc lập,PLs,Tuần 9 - 12,"PL làm chủ hoàn toàn khâu vận hành; SDM chỉ xuất hiện tại các điểm chạm chiến lược (Customer, Sprint Review)."
3,Peer-Learning (Chia sẻ chéo),SDM & PLs,Tuần 10,"Các buổi ""Success Stories"" giúp thu hẹp khoảng cách năng lực và kinh nghiệm giữa 10 PL."
3,Xây dựng Đội ngũ Kế cận,SDM & PLs,Tuần 10 - 11,"Xác định các ""Sub-PLs"" và ""Key members"" qua mô hình 9-Box để đảm bảo tính kế thừa."
3,Rà soát & Tối ưu Hệ thống,SDM,Tuần 11 - 12,"Kết quả khảo sát (EES, CSS, KPI) về mức độ hài lòng của Member và Khách hàng để tinh chỉnh mô hình."
3,Mở rộng Phạm vi Trao quyền,SDM,Tuần 12,"PL được quyền tham gia vào các quyết định quan trọng hơn như quản lý cost, ngân sách dự án, hoặc hợp đồng."
